cas_type,cas_gender,cas_age,cas_pos_in_veh,fatality,seat_belt,unit_type,lic_type,n_occupants,stat_area,total_units,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
Driver,Female,33,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Traffic Signals
Driver,Female,35,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Traffic Signals
Rider,Male,52,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,3 Country,1,peak,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,No Control
Passenger,Female,18,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,3,off-peak,60,Not Divided,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Night,Hit Fixed Object,No Control
Driver,Female,36,Driver,NotFatal,Worn,Small,Provisional 2,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
Driver,Female,40,Driver,NotFatal,Worn,Medium,Full,2,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
Passenger,Male,11,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
Rider,Male,56,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,peak,60,Divided Road,Straight road,Slope,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Male,30,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,2,off-peak,90,Other,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Driver,Male,58,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,70,T-Junction,Straight road,Level,Dry,Not Raining,Night,Right Angle,No Control
