cas_type,cas_gender,cas_age,cas_pos_in_veh,fatality,seat_belt,unit_type,lic_type,n_occupants,stat_area,total_units,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
Driver,Male,31,Driver,NotFatal,Worn,Utility,Provisional 2,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Rider,Female,20,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Male,21,Driver,NotFatal,Worn,Utility,Full,1,3 Country,2,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Night,Roll Over,No Control
Passenger,Female,6,Rear Seat Right Passenger,NotFatal,NotWorn,Medium,NoLicence,3,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Male,77,Driver,NotFatal,Worn,Medium,Full,1,3 Country,2,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Passenger,Female,18,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,3 Country,1,off-peak,110,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Roll Over,No Control
Rider,Female,16,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,1,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,Roundabout
Driver,Male,60,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Give Way Sign
Driver,Male,30,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,2,peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,32,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,3,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Male,22,Driver,NotFatal,Worn,Small,Unknown,1,2 Metropolitan,3,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Male,66,Driver,NotFatal,Unknown,Medium,Full,1,3 Country,2,peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Pedestrian,Male,59,NotApplicable,NotFatal,NotWorn,Pedestrian on Road,NoLicence,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Night,Hit Pedestrian,Give Way Sign
Rider,Male,9,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,3 Country,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Rider,Male,14,NotApplicable,Fatal,NotWorn,PCycling,NoLicence,1,3 Country,2,peak,60,Cross Road,Straight road,Slope,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Rider,Male,62,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,20,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Passenger,Female,39,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,3,off-peak,60,Not Divided,Straight road,Slope,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Driver,Female,59,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Pedestrian,Female,91,NotApplicable,NotFatal,NotWorn,Wheelchair,NoLicence,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Wet,Not Raining,Daylight,Hit Pedestrian,No Control
Rider,Male,61,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
Driver,Female,68,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Female,46,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,3,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Male,39.88915925,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Passenger,Male,57,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,3,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,19,Driver,NotFatal,Worn,Medium,Provisional 2,1,3 Country,2,off-peak,100,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
Rider,Male,32,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,peak,70,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Female,68,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,No Control
Rider,Male,38,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,1 City,2,peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Rider,Male,83,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Female,67,Driver,Fatal,Worn,Medium,Full,1,3 Country,2,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,51,Driver,NotFatal,Worn,Utility,Full,1,3 Country,2,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Rider,Male,60,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,3 Country,2,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Animal,No Control
Driver,Female,29,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Slope,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,52,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,3,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Passenger,Female,49,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,3,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,24,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,1,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,No Control
Passenger,Female,70,Rear Seat Right Passenger,NotFatal,NotWorn,Small,NoLicence,4,2 Metropolitan,2,peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Passenger,Female,23,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,3,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Female,37,Driver,NotFatal,Unknown,Small,Full,1,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Driver,Male,37,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Stop Sign
Driver,Male,37,Driver,NotFatal,Unknown,Small,Full,1,2 Metropolitan,2,off-peak,80,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,28,Driver,NotFatal,Unknown,Utility,Full,1,2 Metropolitan,2,off-peak,80,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Passenger,Female,16,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,2 Metropolitan,2,peak,50,Divided Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Passenger,Male,17,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,2 Metropolitan,2,peak,50,Divided Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,48,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,3,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Female,50,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,1 City,2,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
Passenger,Female,32,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,2 Metropolitan,2,off-peak,110,Freeway,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,25,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,3,peak,90,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,49,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,peak,90,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,48,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,peak,90,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,36,Driver,NotFatal,Worn,Medium,Full,2,2 Metropolitan,3,off-peak,60,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Rider,Male,40,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,3,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Rider,Male,40,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,3,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Rider,Female,39.88915925,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,Cross Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Angle,Roundabout
Driver,Male,32,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,60,Other,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,Roundabout
Driver,Female,81,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,40,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Female,5,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,3 Country,3,peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,28,NotApplicable,Fatal,NotWorn,PCycling,NoLicence,1,3 Country,3,peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,55,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Passenger,Female,39.88915925,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,4,2 Metropolitan,3,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Stop Sign
Rider,Male,18,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,1 City,2,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Passenger,Male,8,Other,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,3,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Female,61,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,peak,100,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Male,64,Driver,NotFatal,Worn,Small,Unknown,2,2 Metropolitan,2,off-peak,40,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Female,54,Driver,NotFatal,Unknown,Small,Full,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Pedestrian,Female,48,NotApplicable,NotFatal,NotWorn,Pedestrian on Footpath/Carpark,NoLicence,1,2 Metropolitan,2,peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
Pedestrian,Male,13,NotApplicable,NotFatal,NotWorn,Pedestrian on Road,NoLicence,1,2 Metropolitan,2,peak,10,Other,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
Passenger,Female,31,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,2 Metropolitan,2,off-peak,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Rider,Male,34,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Roll Over,No Control
Driver,Male,27,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,58,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,79,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,19,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Turn,No Control
Driver,Male,63,Driver,Fatal,NotWorn,Utility,Probationary,1,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,51,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,37,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,25,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Male,22,Driver,NotFatal,Unknown,Medium,Full,1,3 Country,2,off-peak,100,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Female,20,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Traffic Signals
Driver,Male,22,Driver,NotFatal,Unknown,Small,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,Traffic Signals
Driver,Male,62,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Turn,Traffic Signals
Rider,Male,20,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,1,off-peak,60,T-Junction,"CURVED, VIEW OPEN",Slope,Wet,Not Raining,Daylight,Roll Over,Traffic Signals
Driver,Female,55,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Side Swipe,Traffic Signals
Driver,Female,29,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Male,26,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Pedestrian,Male,36,NotApplicable,NotFatal,NotWorn,Pedestrian on Road,NoLicence,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Night,Hit Pedestrian,No Control
Driver,Male,18,Driver,NotFatal,Worn,Small,Provisional 1 ,1,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,33,Driver,NotFatal,Worn,Medium,Full,4,3 Country,1,off-peak,100,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Left Road - Out of Control,No Control
Passenger,Female,33,Rear Seat Middle Passenger,NotFatal,NotWorn,Medium,NoLicence,4,3 Country,1,off-peak,100,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Left Road - Out of Control,No Control
Passenger,Female,21,Rear Seat Right Passenger,NotFatal,NotWorn,Medium,NoLicence,4,3 Country,1,off-peak,100,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Left Road - Out of Control,No Control
Passenger,Female,26,Rear Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,4,3 Country,1,off-peak,100,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Left Road - Out of Control,No Control
Passenger,Male,22,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
Driver,Male,31,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,100,Not Divided,Straight road,Slope,Dry,Not Raining,Night,Hit Fixed Object,No Control
Driver,Male,32,Driver,NotFatal,Worn,Small,Full,1,3 Country,2,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,77,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Male,61,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,3,off-peak,90,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Passenger,Female,71,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,2 Metropolitan,3,off-peak,90,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Female,45,Driver,NotFatal,Worn,Small,Full,1,3 Country,2,off-peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Male,36,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Pedestrian,Male,26,NotApplicable,NotFatal,NotWorn,Pedestrian on Road,NoLicence,1,2 Metropolitan,2,off-peak,70,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
Driver,Male,46,Driver,NotFatal,Worn,Large,Full,1,2 Metropolitan,1,off-peak,50,Cross Road,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Daylight,Roll Over,Roundabout
Rider,Male,56,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Angle,No Control
Rider,Male,54,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Right Turn,No Control
Driver,Female,69,Driver,Fatal,Worn,Medium,Full,1,2 Metropolitan,2,peak,100,T-Junction,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Male,22,Rear Seat Right Passenger,NotFatal,NotWorn,Small,NoLicence,3,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
Rider,Female,19,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Night,Rear End,No Control
Rider,Female,17,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,3,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Rider,Male,58,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Roundabout
Driver,Female,22,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,Cross Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Angle,Roundabout
Driver,Female,38,Driver,NotFatal,Worn,Small,Full,1,3 Country,2,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Rider,Female,33,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,1 City,2,off-peak,50,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Driver,Female,39.88915925,Driver,NotFatal,Worn,Small,Unlicenced,2,2 Metropolitan,2,off-peak,50,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Rider,Male,45,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,49,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,5,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,29,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,5,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,43,Driver,NotFatal,Worn,Small,Provisional 2,1,1 City,2,off-peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Male,37,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Female,70,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Roundabout
Driver,Male,32,Driver,NotFatal,Worn,Large,Full,1,3 Country,3,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
Pedestrian,Female,61,NotApplicable,NotFatal,NotWorn,Pedestrian on Road,NoLicence,1,2 Metropolitan,2,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,Traffic Signals
Pedestrian,Male,32,NotApplicable,NotFatal,NotWorn,Pedestrian on Road,NoLicence,1,1 City,2,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,Traffic Signals
Driver,Female,19,Driver,NotFatal,Worn,Small,Provisional 2,1,2 Metropolitan,3,off-peak,100,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Passenger,Female,59,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,51,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,2,peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,55,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
Driver,Female,22,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
Driver,Female,24,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,32,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,Roundabout
Driver,Female,35,Driver,NotFatal,Worn,Small,Full,1,3 Country,1,off-peak,80,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Roll Over,No Control
Driver,Female,27,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Male,57,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Pedestrian,Female,28,NotApplicable,NotFatal,NotWorn,Pedestrian on Footpath/Carpark,NoLicence,1,1 City,2,peak,60,Divided Road,Straight road,Slope,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
Rider,Male,54,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,1 City,2,peak,60,Divided Road,Straight road,Slope,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
Driver,Female,70,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Male,78,Driver,Fatal,Worn,Utility,Full,2,3 Country,2,off-peak,110,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Passenger,Female,70,Front Seat Left Passenger,NotFatal,NotWorn,Utility,NoLicence,2,3 Country,2,off-peak,110,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Passenger,Female,14,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Roundabout
Passenger,Female,41,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Roundabout
Driver,Female,36,Driver,NotFatal,Worn,Medium,Full,2,2 Metropolitan,2,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Driver,Female,81,Driver,NotFatal,Worn,Small,Full,1,3 Country,2,off-peak,100,T-Junction,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Female,63,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Driver,Male,58,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,2,off-peak,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Driver,Female,58,Driver,NotFatal,Worn,Small,Full,1,1 City,2,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
