"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2018-971-15/08/2019","01",0,"SA","Utility","1999","South West","Male","044","SA","C ","Probationary","Not Towing","Straight Ahead","001","5092",,
"2018-971-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-972-15/08/2019","01",0,"SA","Motor Cars - Sedan","1994","North East","Male","022","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","002","5072",,
"2018-972-15/08/2019","02",0,,"Traffic Signal Pole",,,,,,,,,,,,,
"2018-973-15/08/2019","01",0,"SA","Motor Cars - Sedan","2007","East","Female","029","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5169",,
"2018-973-15/08/2019","02",0,"SA","Motor Cars - Sedan","2012","East","Female","056","SA","C ","Full","Not Towing","Straight Ahead","001","5169",,
"2018-974-15/08/2019","01",0,"SA","Motor Cars - Sedan","2012","North West",,,,,,"Not Towing","Parked","000",,,
"2018-974-15/08/2019","02",0,"SA","OMNIBUS","2010","North West","Male","XXX","SA","MR","Full","Not Towing","Straight Ahead","017","5067",,
"2018-975-15/08/2019","01",1,"SA","Motor Cars - Sedan","1997","North West","Male","064","SA","C ","Full","Not Towing","Straight Ahead","001","5351",,
"2018-975-15/08/2019","02",1,"SA","Station Wagon","2013","North West","Female","058","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5351",,
"2018-976-15/08/2019","01",1,"SA","Station Wagon","2016","North","Female","050","SA","C ","Full","Not Towing","Straight Ahead","001","5051",,
"2018-976-15/08/2019","02",1,"SA","Motor Cars - Sedan","2009","South","Female","086","SA","C ","Full","Not Towing","Right Turn","001","5044",,
"2018-977-15/08/2019","01",1,"SA","Motor Cars - Sedan","1997","South West","Female","061","SA","C ","Full","Not Towing","Straight Ahead","001","XXXX",,
"2018-977-15/08/2019","02",0,"SA","Motor Cars - Sedan","2016","East","Female","073","SA","C R ","Full","Not Towing","Right Turn","001","XXXX",,
"2018-978-15/08/2019","01",0,"SA","Station Wagon","2006","East","Male","044","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5158",,
"2018-978-15/08/2019","02",0,"SA","OMNIBUS","2001","East","Male","051","SA","HR","Full","Not Towing","Straight Ahead","007","5162",,
"2018-979-15/08/2019","01",1,,"Power Asst. Bicycle",,"South East","Female","032",,,,,"Straight Ahead","001","5011",,
"2018-979-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","South East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2018-979-15/08/2019","03",0,,"Stobie Pole",,,,,,,,,,,,,
"2018-980-15/08/2019","01",0,"SA","Panel Van","2016","North West","Male","028","SA","C ","Full","Not Towing","Straight Ahead","001","5554",,
"2018-980-15/08/2019","02",0,"SA","Utility","2002","North West","Male","029","SA","C ","Full","Trailer","Straight Ahead","001","5114",,
"2018-981-15/08/2019","01",0,"SA","Station Wagon","2015","North West","Female","049","SA","C ","Full","Not Towing","Left Turn","001","5154",,
"2018-981-15/08/2019","02",1,"SA","Motor Cars - Sedan","1995","North West","Female","061","SA","C ","Full","Not Towing","Left Turn","001","5031",,
"2018-982-15/08/2019","01",0,"SA","Motor Cars - Sedan","1999","East","Male","039","SA","MR","Probationary","Not Towing","Straight Ahead","001","5014",,
"2018-982-15/08/2019","02",0,"SA","RIGID TRUCK LGE GE 4.5T","1992","East","Male","050","SA","MR","Full","Not Towing","Straight Ahead","001","5108",,
"2018-983-15/08/2019","01",0,"SA","OMNIBUS","2012","West","Male","063","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5159",,
