REPORT_ID,UND_UNIT_NUMBER,CASUALTY_NUMBER,cas_type,cas_gender,cas_age,cas_pos_in_veh,thrown_out,fatality,seat_belt,unit_type,lic_type,unit_movement,n_occupants,stat_area,total_units,cas_total,day,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
2018-1303-15/08/2019,2,1,Pedestrian,Female,21.0,NotApplicable,NotApplicable,NotFatal,NotWorn,Pedestrian on Footpath/Carpark,NoLicence,Walking on Footpath,1.0,2 Metropolitan,2,1,Sunday,peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
2018-1307-15/08/2019,1,1,Rider,Female,66.0,NotApplicable,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,Straight Ahead,1.0,1 City,2,1,Wednesday,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2018-1309-15/08/2019,1,1,Driver,Male,18.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Provisional 2,Straight Ahead,1.0,3 Country,2,1,Monday,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
2018-1314-15/08/2019,1,1,Driver,Female,63.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Monday,peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Roundabout
2018-1316-15/08/2019,1,1,Rider,Male,48.0,NotApplicable,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,Straight Ahead,1.0,2 Metropolitan,2,1,Monday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,No Control
2018-1318-15/08/2019,1,1,Driver,Female,67.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Friday,peak,60,Cross Road,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2018-1328-15/08/2019,1,1,Driver,Male,59.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Monday,peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2018-1333-15/08/2019,1,1,Driver,Male,74.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Monday,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2018-1336-15/08/2019,1,1,Driver,Female,46.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,2.0,2 Metropolitan,2,2,Monday,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
2018-1336-15/08/2019,1,2,Passenger,Male,9.0,Front Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Straight Ahead,2.0,2 Metropolitan,2,2,Monday,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
